番号,日付,保有数,配当/株,申告レート,為替レート,＄:受取金額,￥:受取金額,前月終値,＄:利回り,＄:税後利回り
1,2020/02/01,1,,¥108.92,¥109.67,$0.20,¥21,,,
2,2020/03/01,2,,¥105.25,¥104.19,$0.37,¥38,,,
3,2020/04/01,3,,¥108.10,¥108.67,$0.56,¥60,,,
4,2020/05/01,4,,¥105.27,¥106.95,$0.71,¥74,,,
5,2020/06/01,5,,¥108.09,¥109.48,$0.79,¥85,,,
6,2020/07/01,6,,¥106.69,¥107.31,$0.99,¥105,,,
7,2020/08/01,7,,¥104.59,¥106.17,$1.08,¥112,,,
8,2020/09/01,8,,¥105.31,¥105.99,$1.15,¥121,,,
9,2020/10/01,9,,¥104.68,¥106.07,$1.33,¥139,,,
10,2020/11/01,10,,¥102.70,¥103.35,$1.40,¥143,,,
11,2020/12/01,11,,¥103.08,¥104.09,$1.66,¥171,,,
12,2021/01/01,11,,¥102.65,¥103.63,$1.02,¥104,,,
13,2021/02/01,13,,¥104.54,¥105.54,$1.82,¥190,,,
14,2021/03/01,14,,¥106.90,¥108.37,$1.94,¥207,,,
15,2021/04/01,15,,¥108.83,¥109.31,$1.89,¥205,,,
16,2021/05/01,65,,¥108.15,¥108.77,$8.08,¥873,,,
17,2021/06/01,116,,¥108.57,¥109.45,$13.94,"¥1,513",,,
18,2021/07/01,116,,¥109.58,¥109.92,$12.97,"¥1,421",,,
19,2021/08/01,116,,¥108.89,¥110.36,$13.93,"¥1,516",,,
20,2021/09/01,116,,¥109.27,¥110.23,$13.98,"¥1,527",,,
21,2021/10/01,116,,¥110.40,¥111.73,$15.01,"¥1,657",,,
22,2021/11/01,116,,¥112.78,¥113.62,$14.99,"¥1,690",,,
23,2021/12/01,116,,¥112.50,¥113.57,$13.51,"¥1,519",,,
24,2022/01/01,116,,¥113.18,¥114.23,$9.74,"¥1,102",,,
25,2022/02/01,116,,¥114.26,¥115.30,$13.48,"¥1,540",,,
26,2022/03/01,116,,¥114.02,¥115.49,$13.43,"¥1,531",,,
27,2022/04/01,116,,¥122.66,¥123.79,$13.35,"¥1,637",,,
28,2022/05/01,116,,¥129.52,¥130.78,$15.14,"¥1,960",,,
29,2022/06/01,116,,¥131.24,¥132.81,$15.56,"¥2,042",,,
30,2022/07/01,116,,¥135.06,¥136.47,$15.51,"¥2,094",,,
31,2022/08/01,116,,¥132.02,¥135.34,$16.80,"¥2,217",,,
32,2022/09/01,116,,¥143.48,¥143.81,$17.03,"¥2,443",,,
33,2022/10/01,116,,¥143.92,¥145.77,$17.59,"¥2,531",,,
34,2022/11/01,116,,¥146.04,¥146.55,$18.02,"¥2,631",,,
35,2022/12/01,116,,¥136.31,¥136.57,$18.85,"¥2,569",,,
36,2023/01/01,116,,¥130.78,¥132.29,$18.86,"¥2,466",,,
37,2023/02/01,116,,¥131.58,¥130.93,$20.40,"¥2,684",,,
38,2023/03/01,116,,¥135.13,¥137.35,$19.55,"¥2,641",,,
39,2023/04/01,116,,¥130.19,¥132.62,$21.06,"¥2,741",,,
40,2023/05/01,116,,¥136.67,¥135.14,$20.71,"¥2,830",,,
41,2023/06/01,116,,¥138.51,¥140.00,$21.52,"¥2,980",,,
42,2023/07/01,116,,¥141.54,¥141.46,$21.21,"¥3,002",,,
43,2023/08/01,116,,¥140.70,¥143.06,$22.13,"¥3,113",,,
44,2023/09/01,116,,¥146.01,¥146.97,$21.72,"¥3,171",,,
45,2023/10/01,116,,¥147.75,¥148.60,$21.45,"¥3,169",,,
46,2023/11/01,116,,¥149.10,¥150.67,$23.09,"¥3,442",,,
47,2023/12/01,116,,¥146.17,¥143.25,$22.66,"¥3,312",,,
48,2024/01/31,116,,¥143.03,¥143.48,$23.53,"¥3,365",,,
49,2024/02/01,116,,¥146.88,¥148.15,$24.47,"¥3,594",,,
50,2024/03/01,116,,¥148.02,¥147.86,$23.82,"¥3,525",,,
51,2024/04/01,116,,¥149.99,¥151.80,$24.24,"¥3,635",,,
52,2024/05/01,116,,¥153.11,¥154.95,$24.62,"¥3,769",,,
53,2024/06/01,116,,¥154.81,¥157.01,$25.22,"¥3,904",,,
54,2024/07/01,116,,¥160.17,¥160.77,$25.07,"¥4,015",,,
55,2024/08/01,116,,¥143.98,¥144.80,$25.33,"¥3,647",,,
